PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,OrganizationType,NumbofProjects,TotalNumbPartners,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
1,2017,2019-01-06,2223,2,2,1,1.0,1035554.56,48910.0,50866.0,36831.0,38335.0,60465.0,116248.0,69506.0,76259.0,,,,,,,,
1,2017,2019-01-21,2223,2,2,1,1.0,683530.25,19344.0,18579.0,9960.0,10032.0,18694.0,19422.0,10275.0,11448.0,,,,,,,,
1,2017,2019-01-23,2223,2,1,1,1.0,819341.8,4700.0,7300.0,5200.0,5450.0,4935.0,7665.0,5460.0,5722.0,,,,,,,,
1,2017,2019-01-31,2423,1,1,1,1.0,2501675.52,,,20738.0,24344.0,,,20828.0,25137.0,,,,,,,,
1,2017,2019-05-06,2223,2,1,1,1.0,1477694.04,87474.0,92339.0,160348.0,145799.0,153428.0,161960.0,281247.0,255728.0,,,,,,,,
1,2017,2019-09-12,2223,2,2,1,1.0,1619973.93,5474.0,5017.0,17030.0,20360.0,3225.0,3463.0,23021.0,22679.0,,,,,,,,
1,2017,2019-09-16,2223,2,2,1,1.0,722150.0,8034.0,7546.0,2238.0,2082.0,19668.0,24072.0,10168.0,9228.0,,,,,,,,
1,2017,2019-11-01,2223,2,3,1,1.0,4376621.51,231234.0,424530.0,324350.0,133430.0,341692.0,627324.0,479289.0,197169.0,,,,,,,,
1,2017,2019-11-05,2223,2,1,1,1.0,842059.0,25270.0,27755.0,17637.0,18469.0,20112.0,32420.0,21343.0,19570.0,,,,,,,,
1,2017,2020-01-31,2123,2,1,1,1.0,384761.0,30000.0,180000.0,15000.0,75000.0,29900.0,174240.0,11486.0,66780.0,,,,,,,,
1,2018,2018-10-03,2623,2,2,1,1.0,209185.0,2289.0,2300.0,3207.0,3264.0,2268.0,2579.0,4166.0,4292.0,,,,,,,,
1,2018,2018-10-22,2623,2,1,1,1.0,350000.21,1058.0,1127.0,1946.0,1784.0,926.0,1123.0,1973.0,2095.0,,,,,,,,
1,2018,2018-10-22,2623,2,1,1,1.0,413706.3,3780.0,5040.0,1260.0,2520.0,3780.0,5040.0,1260.0,2520.0,,,,,,,,
1,2018,2018-10-23,2623,2,3,1,1.0,678521.9,5027.0,5052.0,7046.0,7165.0,4952.0,4977.0,6939.0,7058.0,,,,,,,,
1,2018,2018-10-24,2623,2,2,1,1.0,611863.33,3054.0,2986.0,5734.0,5786.0,2866.0,3170.0,4206.0,4256.0,,,,,,,,
1,2018,2018-12-16,2623,2,2,1,1.0,297298.43,1456.0,1329.0,1899.0,1646.0,1938.0,1902.0,3789.0,2999.0,,,,,,,,
1,2018,2018-12-26,2623,2,2,1,1.0,399859.16,1044.0,1093.0,1392.0,1441.0,721.0,909.0,1414.0,1650.0,,,,,,,,
1,2018,2019-01-23,2623,2,2,1,1.0,607185.41,3989.0,4118.0,2582.0,2432.0,4052.0,4608.0,2812.0,2608.0,,,,,,,,
1,2018,2019-01-23,2623,2,2,1,1.0,651524.07,5145.0,7560.0,6823.0,6622.0,5402.0,7938.0,7164.0,6953.0,,,,,,,,
1,2018,2019-01-23,2723,1,3,1,1.0,367000.0,18778.0,19939.0,15363.0,16314.0,11400.0,12919.0,19269.0,20117.0,,,,,,,,
1,2018,2019-01-31,2623,2,1,1,1.0,239567.65,5705.0,4336.0,6618.0,6161.0,6644.0,6316.0,5485.0,4610.0,,,,,,,,
1,2018,2019-05-06,2823,1,1,1,1.0,399871.99,3213.0,1377.0,,,3213.0,1377.0,,,,,,,,,,
1,2018,2019-09-11,2623,2,3,1,1.0,1277419.11,7043.0,18916.0,7817.0,8271.0,10762.0,29233.0,8604.0,9629.0,,,,,,,,
1,2018,2019-09-11,2923,2,1,1,1.0,987500.0,11900.0,16450.0,14120.0,14230.0,12803.0,13102.0,21831.0,21615.0,,,,,,,,
1,2018,2019-09-12,3023,1,1,1,1.0,884000.02,2608.0,2898.0,4637.0,4347.0,1365.0,1958.0,2961.0,2762.0,,,,,,,,
1,2018,2019-09-12,3223,1,3,3,2.0,2352163.37,21051.0,24004.0,37241.0,33263.0,19085.0,21329.0,28086.0,26736.0,,,,,,,,
1,2018,2019-09-12,3323,1,1,1,1.0,500000.32,4279.0,5093.0,8457.0,7171.0,5700.0,6784.0,11265.0,9551.0,,,,,,,,
1,2018,2019-09-15,3323,1,1,1,1.0,375998.73,60598.0,63261.0,83362.0,80488.0,80394.0,90491.0,94955.0,92047.0,,,,,,,,
1,2018,2019-09-18,2923,2,1,1,1.0,1000000.0,13243.0,15512.0,10421.0,7685.0,8019.0,18858.0,10346.0,8075.0,,,,,,,,
1,2018,2019-09-18,2923,2,2,1,1.0,998413.69,21513.0,26122.0,15825.0,20652.0,21513.0,26122.0,15825.0,20652.0,,,,,,,,
1,2018,2019-09-22,3123,1,1,1,1.0,699999.72,19040.0,18564.0,4284.0,5712.0,18119.0,16700.0,6889.0,7403.0,,,,,,,,
1,2018,2019-10-01,2923,2,1,1,1.0,1275000.42,3850.0,1650.0,16500.0,16500.0,8873.0,10192.0,14133.0,13441.0,,,,,,,,
1,2018,2019-10-01,3023,1,1,1,1.0,258517.85,13.0,2399.0,3634.0,3962.0,279.0,3159.0,5467.0,4564.0,,,,,,,,
1,2018,2019-10-14,2623,2,2,1,1.0,554488.97,3235.0,3505.0,2105.0,1740.0,4804.0,3284.0,2709.0,2215.0,,,,,,,,
1,2018,2019-10-22,3323,1,2,1,1.0,247558.62,6722.0,6433.0,1681.0,1607.0,12963.0,20891.0,8159.0,7991.0,,,,,,,,
1,2018,2019-11-01,2623,2,3,2,2.0,1631153.35,7004.0,1235.0,6413.0,5031.0,10405.0,1544.0,6676.0,5676.0,,,,,,,,
1,2018,2019-11-01,2623,2,1,1,1.0,3054085.85,,10215.0,30474.0,28284.0,,15840.0,38023.0,36532.0,,,,,,,,
1,2018,2019-11-01,2923,2,1,1,1.0,553650.19,13070.0,13060.0,13055.0,13075.0,14585.0,14254.0,14445.0,14576.0,,,,,,,,
1,2018,2019-11-01,3023,1,3,1,1.0,233753.26,22531.0,23871.0,10010.0,8958.0,10366.0,22639.0,7242.0,7147.0,,,,,,,,
1,2018,2019-11-01,3323,1,1,1,1.0,517957.04,2100.0,1300.0,700.0,540.0,2638.0,1700.0,850.0,650.0,,,,,,,,
1,2018,2019-11-02,2623,2,1,1,1.0,1343028.58,704.0,708.0,11139.0,11594.0,830.0,495.0,12088.0,9998.0,,,,,,,,
1,2018,2019-11-02,2623,2,1,1,1.0,2657554.61,,,18751.0,22918.0,,,20947.0,25213.0,,,,,,,,
1,2018,2019-11-03,3023,1,1,3,3.0,1836457.02,10068.0,16009.0,13154.0,12814.0,10055.0,19111.0,9668.0,9051.0,,,,,,,,
1,2018,2019-11-04,2823,1,1,1,1.0,836832.42,12640.0,3200.0,80.0,80.0,18170.0,3081.0,2152.0,777.0,,,,,,,,
1,2018,2019-11-04,3023,1,1,1,1.0,204536.96,9183.0,8817.0,2296.0,2204.0,16180.0,30585.0,8581.0,8777.0,,,,,,,,
1,2018,2019-11-04,3223,1,2,1,1.0,236088.76,2140.0,2228.0,437.0,655.0,1471.0,1532.0,1228.0,1229.0,,,,,,,,
1,2018,2019-11-05,2923,2,2,1,1.0,410216.6,7875.0,5985.0,9135.0,8505.0,9320.0,6390.0,9039.0,6849.0,,,,,,,,
1,2018,2019-11-05,3323,1,2,1,1.0,270000.01,5834.0,4453.0,4660.0,3728.0,7122.0,5512.0,5742.0,4594.0,,,,,141.0,50.0,84.0,41.0
1,2018,2019-11-05,3323,1,3,1,1.0,1009443.17,,,4665.0,5702.0,,,5125.0,6017.0,,,,,,,,
1,2018,2019-11-06,2623,2,3,1,1.0,477260.2,3047.0,20351.0,30257.0,33752.0,9022.0,36411.0,47717.0,44471.0,,,,,,,,
1,2018,2019-11-06,2923,2,1,2,2.0,1192429.88,1546.0,4220.0,8223.0,7745.0,2314.0,6967.0,11842.0,10390.0,,,,,,,,
1,2018,2019-11-06,3223,1,1,1,1.0,957189.28,9548.0,10609.0,16975.0,15914.0,5041.0,7668.0,11504.0,10408.0,,,,,,,,
1,2018,2019-11-06,3223,1,1,1,1.0,8758844.05,22197.0,23254.0,31710.0,28539.0,14183.0,8051.0,19605.0,23788.0,,,,,,,,
1,2018,2019-11-06,3323,1,1,1,1.0,520000.0,12000.0,18600.0,14100.0,15300.0,14403.0,43612.0,15574.0,18743.0,,,,,,,,
1,2018,2019-11-07,2623,2,1,1,1.0,350000.0,8024.0,9819.0,18618.0,15937.0,10299.0,11103.0,15110.0,14437.0,,,,,,,,
1,2018,2019-11-07,2923,2,2,2,2.0,843557.27,18323.0,21729.0,14093.0,14358.0,18892.0,28106.0,30011.0,33187.0,,,,,,,,
1,2018,2019-11-07,3323,1,2,1,1.0,246910.85,9494.0,29290.0,5836.0,6361.0,3843.0,25341.0,12412.0,12430.0,,,,,,,,
1,2018,2019-11-08,2623,2,2,2,2.0,1059101.03,14543.0,12475.0,13998.0,13954.0,17334.0,45977.0,47747.0,43843.0,,,,,,,,
1,2018,2019-11-08,2623,2,1,1,1.0,830618.64,88426.0,81847.0,24245.0,23861.0,99854.0,98927.0,49413.0,39845.0,,,,,6000.0,2500.0,500.0,217.0
1,2018,2019-11-08,2923,2,3,1,1.0,1493007.58,7879.0,15989.0,14023.0,13453.0,3532.0,3928.0,4356.0,4382.0,,,,,,,,
1,2018,2019-11-08,3023,1,1,1,1.0,253121.25,16744.0,38070.0,40982.0,38683.0,19676.0,60740.0,26698.0,24430.0,,,,,,,,
1,2018,2019-11-08,3023,1,2,1,1.0,1184404.36,95694.0,73412.0,49439.0,29330.0,103300.0,94445.0,53125.0,44272.0,,,,,4000.0,3000.0,1250.0,1200.0
1,2018,2019-11-08,3123,1,1,1,1.0,800000.18,15175.0,14575.0,14815.0,14935.0,15887.0,15264.0,15513.0,15637.0,,,,,286.0,274.0,279.0,280.0
1,2018,2019-11-12,3223,1,1,1,1.0,309013.62,4850.0,4848.0,2078.0,2077.0,4850.0,4848.0,2078.0,2077.0,,,,,,,,
1,2018,2019-11-14,2623,2,3,1,1.0,800000.0,22680.0,22680.0,34020.0,34020.0,12185.0,12790.0,15588.0,16730.0,,,,,,,,
