PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
1,2017,2018-12-26,2223,2,12.0,29392.7487,310.0,325.0,413.0,428.0,373.0,751.0,220.0,238.0
1,2017,2018-12-27,2223,2,7.0,602616.189,5142.0,8118.0,3219.0,5760.0,7963.0,11346.0,6737.0,6413.0
1,2017,2018-12-27,2223,2,9.0,43044.0135,367.0,580.0,230.0,411.0,569.0,810.0,481.0,458.0
1,2017,2018-12-27,2223,2,10.0,215220.0675,1837.0,2899.0,1150.0,2057.0,2844.0,4052.0,2406.0,2291.0
1,2017,2018-12-30,2223,2,7.0,413561.118,8078.0,14764.0,2507.0,2507.0,3695.0,5689.0,2345.0,2042.0
1,2017,2018-12-30,2223,2,10.0,206780.559,4039.0,7382.0,1253.0,1253.0,1847.0,2845.0,1173.0,1021.0
1,2017,2019-01-04,2223,2,7.0,338888.082,4802.0,5014.0,6599.0,6371.0,23648.0,21737.0,6601.0,3550.0
1,2017,2019-01-04,2223,2,9.0,112962.694,1601.0,1671.0,2200.0,2124.0,7883.0,7246.0,2200.0,1183.0
1,2017,2019-01-04,2223,2,10.0,112962.694,1601.0,1671.0,2200.0,2124.0,7883.0,7246.0,2200.0,1183.0
1,2017,2019-01-06,2223,2,7.0,414221.824,19564.0,20346.0,14732.0,15334.0,24186.0,46499.0,27802.0,30504.0
1,2017,2019-01-06,2223,2,9.0,207110.912,9782.0,10173.0,7366.0,7667.0,12093.0,23250.0,13901.0,15252.0
1,2017,2019-01-06,2223,2,10.0,414221.824,19564.0,20346.0,14732.0,15334.0,24186.0,46499.0,27802.0,30504.0
1,2017,2019-01-21,2223,2,9.0,136706.05,3869.0,3716.0,1992.0,2006.0,3739.0,3884.0,2055.0,2290.0
1,2017,2019-01-21,2223,2,10.0,102529.5375,2902.0,2787.0,1494.0,1505.0,2804.0,2913.0,1541.0,1717.0
1,2017,2019-01-23,2223,2,4.0,245802.54,1410.0,2190.0,1560.0,1635.0,1481.0,2300.0,1638.0,1717.0
1,2017,2019-01-23,2223,2,10.0,335930.138,1927.0,2993.0,2132.0,2235.0,2023.0,3143.0,2239.0,2346.0
1,2017,2019-01-31,2423,1,9.0,2501675.52,,,20738.0,24344.0,,,20828.0,25137.0
1,2017,2019-05-06,2223,2,6.0,694516.1988,41113.0,43399.0,75364.0,68526.0,72111.0,76121.0,132186.0,120192.0
1,2017,2019-05-06,2223,2,10.0,147769.404,8747.0,9234.0,16035.0,14580.0,15343.0,16196.0,28125.0,25573.0
1,2017,2019-09-12,2223,2,6.0,307795.0467,1040.0,953.0,3236.0,3868.0,613.0,658.0,4374.0,4309.0
1,2017,2019-09-12,2223,2,9.0,323994.786,1095.0,1003.0,3406.0,4072.0,645.0,693.0,4604.0,4536.0
1,2017,2019-09-12,2223,2,10.0,210596.6109,712.0,652.0,2214.0,2647.0,419.0,450.0,2993.0,2948.0
1,2017,2019-09-12,2223,2,12.0,404993.4825,1369.0,1254.0,4258.0,5090.0,806.0,866.0,5755.0,5670.0
1,2017,2019-09-16,2223,2,7.0,433290.0,4820.0,4528.0,1343.0,1249.0,11801.0,14443.0,6101.0,5537.0
1,2017,2019-09-16,2223,2,9.0,144430.0,1607.0,1509.0,448.0,416.0,3934.0,4814.0,2034.0,1846.0
1,2017,2019-09-16,2223,2,10.0,144430.0,1607.0,1509.0,448.0,416.0,3934.0,4814.0,2034.0,1846.0
1,2017,2019-11-01,2223,2,7.0,3063635.057,161864.0,297171.0,227045.0,93401.0,239184.0,439127.0,335502.0,138018.0
1,2017,2019-11-01,2223,2,9.0,437662.151,23123.0,42453.0,32435.0,13343.0,34169.0,62732.0,47929.0,19717.0
1,2017,2019-11-01,2223,2,10.0,218831.0755,11562.0,21227.0,16218.0,6672.0,17085.0,31366.0,23964.0,9858.0
1,2017,2019-11-01,2223,2,12.0,218831.0755,11562.0,21227.0,16218.0,6672.0,17085.0,31366.0,23964.0,9858.0
1,2017,2019-11-05,2223,2,7.0,319982.42,9603.0,10547.0,6702.0,7018.0,7643.0,12320.0,8110.0,7437.0
1,2017,2019-11-05,2223,2,10.0,84205.9,2527.0,2776.0,1764.0,1847.0,2011.0,3242.0,2134.0,1957.0
1,2017,2020-01-31,2123,2,7.0,384761.0,30000.0,180000.0,15000.0,75000.0,29900.0,174240.0,11486.0,66780.0
1,2018,2018-10-03,2623,2,4.0,43928.85,481.0,483.0,673.0,685.0,476.0,542.0,875.0,901.0
1,2018,2018-10-22,2623,2,4.0,763706.51,4838.0,6167.0,3206.0,4304.0,4706.0,6163.0,3233.0,4615.0
1,2018,2018-10-23,2623,2,4.0,352831.388,2614.0,2627.0,3664.0,3726.0,2575.0,2588.0,3608.0,3670.0
1,2018,2018-10-24,2623,2,4.0,269219.8652,1344.0,1314.0,2523.0,2546.0,1261.0,1395.0,1851.0,1873.0
1,2018,2018-10-24,2623,2,10.0,55067.6997,275.0,269.0,516.0,521.0,258.0,285.0,379.0,383.0
1,2018,2018-12-16,2623,2,4.0,297298.43,1456.0,1329.0,1899.0,1646.0,1938.0,1902.0,3789.0,2999.0
1,2018,2018-12-26,2623,2,4.0,399859.16,1044.0,1093.0,1392.0,1441.0,721.0,909.0,1414.0,1650.0
1,2018,2019-01-23,2623,2,4.0,284318.0995,2084.0,2714.0,2222.0,2142.0,2161.0,2907.0,2353.0,2260.0
1,2018,2019-01-23,2623,2,10.0,488643.0525,3859.0,5670.0,5118.0,4967.0,4052.0,5954.0,5373.0,5215.0
1,2018,2019-01-31,2623,2,10.0,239567.65,5706.0,4336.0,6618.0,6162.0,6644.0,6316.0,5486.0,4610.0
1,2018,2019-05-06,2823,1,12.0,399871.99,3213.0,1377.0,,,3213.0,1377.0,,
1,2018,2019-09-11,2623,2,9.0,715354.7016,3944.0,10593.0,4378.0,4632.0,6027.0,16370.0,4818.0,5392.0
1,2018,2019-09-11,2623,2,10.0,217161.2487,1197.0,3216.0,1329.0,1406.0,1830.0,4970.0,1463.0,1637.0
1,2018,2019-09-11,2923,2,6.0,987500.0,11900.0,16450.0,14120.0,14230.0,12803.0,13102.0,21831.0,21615.0
1,2018,2019-09-12,3023,1,4.0,884000.02,2608.0,2898.0,4637.0,4347.0,1365.0,1958.0,2961.0,2762.0
1,2018,2019-09-12,3223,1,4.0,2352163.37,21051.0,24004.0,37241.0,33263.0,19085.0,21329.0,28086.0,26736.0
1,2018,2019-09-15,3323,1,7.0,259439.1237,41813.0,43650.0,57520.0,55537.0,55472.0,62439.0,65519.0,63512.0
1,2018,2019-09-15,3323,1,9.0,116559.6063,18785.0,19611.0,25842.0,24951.0,24922.0,28052.0,29436.0,28535.0
1,2018,2019-09-18,2923,2,6.0,559111.6664,12047.0,14628.0,8862.0,11565.0,12047.0,14628.0,8862.0,11565.0
1,2018,2019-09-18,2923,2,9.0,400000.0,5297.0,6205.0,4168.0,3074.0,3208.0,7543.0,4138.0,3230.0
1,2018,2019-09-18,2923,2,10.0,200000.0,2649.0,3102.0,2084.0,1537.0,1604.0,3772.0,2069.0,1615.0
1,2018,2019-09-22,3123,1,6.0,699999.72,19040.0,18564.0,4284.0,5712.0,18119.0,16700.0,6889.0,7403.0
1,2018,2019-10-01,2923,2,6.0,1275000.42,3850.0,1650.0,16500.0,16500.0,8873.0,10192.0,14133.0,13441.0
1,2018,2019-10-01,3023,1,7.0,258517.85,13.0,2399.0,3634.0,3962.0,279.0,3159.0,5467.0,4564.0
1,2018,2019-10-14,2623,2,7.0,415866.7275,2426.0,2629.0,1579.0,1305.0,3603.0,2463.0,2032.0,1661.0
1,2018,2019-10-14,2623,2,10.0,138622.2425,809.0,876.0,526.0,435.0,1201.0,821.0,677.0,554.0
1,2018,2019-10-22,3323,1,7.0,202998.0684,5512.0,5275.0,1378.0,1318.0,10630.0,17131.0,6690.0,6553.0
1,2018,2019-10-22,3323,1,9.0,44560.5516,1210.0,1158.0,303.0,289.0,2333.0,3760.0,1469.0,1438.0
1,2018,2019-11-01,2623,2,3.0,436092.228,345.0,359.0,2597.0,2703.0,582.0,326.0,2162.0,2934.0
1,2018,2019-11-01,2623,2,7.0,904332.97,6429.0,637.0,2085.0,526.0,9435.0,1001.0,3073.0,786.0
1,2018,2019-11-01,2623,2,9.0,3054085.85,,10215.0,30474.0,28284.0,,15840.0,38023.0,36532.0
1,2018,2019-11-01,2623,2,10.0,290728.152,230.0,239.0,1731.0,1802.0,388.0,217.0,1441.0,1956.0
1,2018,2019-11-01,2923,2,10.0,265752.0912,6274.0,6269.0,6266.0,6276.0,7001.0,6842.0,6934.0,6996.0
1,2018,2019-11-01,3023,1,7.0,233753.26,22531.0,23871.0,10010.0,8958.0,10366.0,22639.0,7242.0,7147.0
1,2018,2019-11-01,3323,1,7.0,517957.04,2100.0,1300.0,700.0,540.0,2638.0,1700.0,850.0,650.0
1,2018,2019-11-02,2623,2,3.0,1343028.58,704.0,708.0,11139.0,11594.0,830.0,495.0,12088.0,9998.0
1,2018,2019-11-02,2623,2,9.0,2657554.61,,,18751.0,22918.0,,,20947.0,25213.0
1,2018,2019-11-03,3023,1,4.0,1611457.02,4468.0,4809.0,7834.0,6934.0,3952.0,3916.0,5772.0,5620.0
1,2018,2019-11-03,3023,1,7.0,225000.0,5600.0,11200.0,5320.0,5880.0,6103.0,15195.0,3896.0,3431.0
