PooledFundId,AllocationYear,ReportApprovedDate,BeneficiaryTypeId,AllocationtypeId,AllocationSourceId,TargetMen,TargetWomen,TargetBoys,TargetGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
1,2017,2018-10-17,4.0,2123,2,967.0,5923.0,1740.0,2043.0,1157.0,9521.0,1583.0,1990.0
1,2017,2018-10-29,4.0,2123,2,43.0,44.0,44.0,44.0,43.0,44.0,44.0,44.0
1,2017,2018-10-29,4.0,2223,2,12.0,12.0,12.0,12.0,,,,
1,2017,2018-12-26,2.0,2223,2,7207.0,7714.0,14214.0,14250.0,17664.0,29363.0,17773.0,17839.0
1,2017,2018-12-26,3.0,2223,2,10154.0,10733.0,16487.0,16040.0,8994.0,14211.0,14686.0,14409.0
1,2017,2018-12-27,2.0,2223,2,4408.0,6958.0,2759.0,4937.0,9510.0,12731.0,7248.0,6995.0
1,2017,2018-12-27,3.0,2223,2,2203.0,3479.0,1379.0,2468.0,1483.0,2805.0,1817.0,1647.0
1,2017,2018-12-27,4.0,2223,2,735.0,1160.0,460.0,823.0,382.0,672.0,559.0,520.0
1,2017,2018-12-30,2.0,2223,2,9155.0,16731.0,2841.0,2841.0,4744.0,6995.0,2992.0,2605.0
1,2017,2018-12-30,3.0,2223,2,3231.0,5906.0,1003.0,1003.0,1414.0,2487.0,917.0,799.0
1,2017,2018-12-30,4.0,2223,2,1077.0,1969.0,334.0,334.0,,,,
1,2017,2019-01-04,2.0,2223,2,7088.0,7425.0,9788.0,9450.0,32870.0,27248.0,7856.0,3880.0
1,2017,2019-01-04,3.0,2223,2,877.0,919.0,1211.0,1169.0,6544.0,8981.0,3145.0,2036.0
1,2017,2019-01-04,4.0,2223,2,39.0,12.0,,,9.0,,,
1,2017,2019-01-06,2.0,2223,2,4439.0,4620.0,3348.0,3485.0,6041.0,11622.0,6951.0,7627.0
1,2017,2019-01-06,3.0,2223,2,44385.0,46196.0,33483.0,34850.0,54362.0,104591.0,62557.0,68632.0
1,2017,2019-01-06,4.0,2223,2,86.0,50.0,,,63.0,35.0,,
1,2017,2019-01-21,2.0,2223,2,12385.0,11839.0,6470.0,6502.0,12385.0,11839.0,6470.0,6502.0
1,2017,2019-01-21,3.0,2223,2,6959.0,6740.0,3490.0,3530.0,7609.0,7583.0,3805.0,3646.0
1,2017,2019-01-23,2.0,2223,2,1645.0,2555.0,1820.0,1908.0,2091.0,3830.0,2752.0,3341.0
1,2017,2019-01-23,3.0,2223,2,2350.0,3450.0,2600.0,2724.0,3031.0,4151.0,2942.0,2806.0
1,2017,2019-01-23,4.0,2223,2,705.0,1095.0,780.0,818.0,11.0,,,
1,2017,2019-01-31,2.0,2423,1,,,20738.0,24344.0,,,20850.0,25160.0
1,2017,2019-05-06,2.0,2223,2,26242.0,27702.0,48104.0,43740.0,,,,
1,2017,2019-05-06,3.0,2223,2,61232.0,64637.0,112244.0,102059.0,,,,
1,2017,2019-09-12,2.0,2223,2,4198.0,4045.0,14479.0,17861.0,1795.0,2009.0,20185.0,19619.0
1,2017,2019-09-12,3.0,2223,2,1050.0,900.0,2551.0,2499.0,1298.0,1409.0,2836.0,3060.0
1,2017,2019-09-12,4.0,2223,2,226.0,72.0,,,132.0,45.0,,
1,2017,2019-09-16,2.0,2223,2,6258.0,5686.0,1644.0,1532.0,18374.0,22664.0,9535.0,8621.0
1,2017,2019-09-16,3.0,2223,2,888.0,930.0,297.0,275.0,487.0,415.0,244.0,187.0
1,2017,2019-09-16,4.0,2223,2,888.0,930.0,297.0,275.0,807.0,993.0,389.0,420.0
1,2017,2019-11-01,2.0,2223,2,141410.0,203607.0,245958.0,81502.0,,,,
1,2017,2019-11-01,3.0,2223,2,89824.0,220923.0,78392.0,51928.0,341700.0,627326.0,479300.0,197148.0
1,2017,2019-11-05,2.0,2223,2,21930.0,24306.0,15430.0,16157.0,17966.0,30381.0,18199.0,16225.0
1,2017,2019-11-05,3.0,2223,2,3120.0,3228.0,2152.0,2259.0,2099.0,2032.0,3144.0,3345.0
1,2017,2019-11-05,4.0,2223,2,220.0,221.0,55.0,53.0,47.0,7.0,,
1,2017,2020-01-31,2.0,2123,2,3000.0,18000.0,1500.0,7500.0,12340.0,65220.0,4496.0,28160.0
1,2017,2020-01-31,3.0,2123,2,12000.0,72000.0,6000.0,30000.0,10530.0,63280.0,3826.0,22820.0
1,2017,2020-01-31,4.0,2123,2,15000.0,90000.0,7500.0,37500.0,7030.0,45740.0,3164.0,15800.0
1,2018,2018-10-03,2.0,2623,2,426.0,428.0,597.0,614.0,226.0,258.0,416.0,429.0
1,2018,2018-10-03,3.0,2623,2,1863.0,1872.0,2610.0,2650.0,2042.0,2321.0,3750.0,3863.0
1,2018,2018-10-22,2.0,2623,2,1021.0,1290.0,739.0,950.0,867.0,1147.0,458.0,758.0
1,2018,2018-10-22,3.0,2623,2,2955.0,3756.0,2020.0,2672.0,2775.0,3637.0,1942.0,2585.0
1,2018,2018-10-22,4.0,2623,2,862.0,1121.0,447.0,682.0,758.0,1008.0,252.0,506.0
1,2018,2018-10-23,2.0,2623,2,1231.0,1238.0,1726.0,1755.0,1303.0,1311.0,1828.0,1858.0
1,2018,2018-10-23,3.0,2623,2,3796.0,3814.0,5320.0,5410.0,3649.0,3666.0,5111.0,5200.0
1,2018,2018-10-24,2.0,2623,2,1197.0,1171.0,2247.0,2268.0,838.0,898.0,890.0,990.0
1,2018,2018-10-24,3.0,2623,2,1739.0,1700.0,3266.0,3295.0,2011.0,2243.0,3283.0,3227.0
1,2018,2018-10-24,4.0,2623,2,118.0,115.0,221.0,223.0,,,,
1,2018,2018-10-24,5.0,2623,2,,,,,17.0,29.0,33.0,39.0
1,2018,2018-12-16,2.0,2623,2,291.0,266.0,380.0,329.0,26.0,27.0,59.0,44.0
1,2018,2018-12-16,3.0,2623,2,1165.0,1063.0,1519.0,1317.0,1912.0,1875.0,3730.0,2955.0
1,2018,2018-12-26,2.0,2623,2,52.0,55.0,70.0,72.0,25.0,35.0,40.0,54.0
1,2018,2018-12-26,3.0,2623,2,992.0,1038.0,1322.0,1369.0,696.0,874.0,1374.0,1596.0
1,2018,2019-01-23,2.0,2623,2,3206.0,4127.0,3262.0,3103.0,5350.0,7264.0,4163.0,3960.0
1,2018,2019-01-23,2.0,2723,1,18778.0,19939.0,15363.0,16314.0,11400.0,12919.0,19269.0,20117.0
1,2018,2019-01-23,3.0,2623,2,5156.0,6417.0,5119.0,4958.0,4097.0,5191.0,4566.0,3297.0
1,2018,2019-01-23,4.0,2623,2,772.0,1134.0,1024.0,993.0,308.0,317.0,155.0,104.0
1,2018,2019-01-31,2.0,2623,2,2940.0,2235.0,3410.0,3175.0,3532.0,2982.0,2463.0,1976.0
1,2018,2019-01-31,3.0,2623,2,2765.0,2101.0,3208.0,2986.0,3112.0,3334.0,3022.0,2634.0
1,2018,2019-09-11,2.0,2623,2,2748.0,3761.0,2448.0,2370.0,10762.0,29233.0,8604.0,9629.0
1,2018,2019-09-11,2.0,2923,2,11900.0,16450.0,14120.0,14230.0,12803.0,13102.0,21831.0,21615.0
1,2018,2019-09-11,3.0,2623,2,752.0,1950.0,974.0,1091.0,,,,
1,2018,2019-09-11,4.0,2623,2,3542.0,12905.0,4395.0,4810.0,,,,
