Year,ApplicationCode,WindowID,EmergencyTypeID,EmergencyGroupID,AgencyID,Budget,FirstProjectApprovedDate,LastProjectApprovedDate,CountryID
2006,06-RR-TLS-11751,3,8,3,7;11;4;2,4047931.0000,2006-06-09,2006-06-09,93
2006,06-RR-TLS-11757,3,19,1,2,1500000.0000,2006-12-19,2006-12-19,93
2006,06-RR-IRQ-6062,3,16,1,11,3998590.0000,2006-12-14,2006-12-14,49
2006,06-RR-JOR-6175,3,16,1,11,1000000.0000,2006-12-18,2006-12-18,51
2006,06-RR-LBN-6957,3,27,6,4;2;3,5000000.0000,2006-07-28,2006-07-31,55
2006,06-RR-PSE-9377,3,27,6,1;3,4829402.0000,2006-11-27,2006-11-30,73
2006,06-RR-SYR-11294,3,16,1,11;2,1177096.0000,2006-12-18,2006-12-18,91
2007,07-RR-ARM-287,3,16,1,11,299787.0000,2007-10-29,2007-10-29,5
2007,07-RR-YEM-12057,3,13,3,5,2432110.0000,2007-06-18,2007-06-18,105
2007,07-RR-YEM-12060,3,19,1,4;3,1002466.0000,2007-08-30,2007-10-30,105
2007,07-RR-PSE-9383,3,22,5,4;13,2525949.0000,2007-02-14,2007-03-20,73
2007,07-UF-PSE-9386,4,27,6,4;25;13;3,3659510.0000,2007-08-28,2007-08-29,73
2007,07-RR-LBN-6964,3,16,1,1;4;13,5676248.0000,2007-06-12,2007-06-12,55
2007,07-RR-GEO-5516,3,7,3,11,161599.0000,2007-11-06,2007-11-06,39
2007,06-RR-IDN-6033,3,6,3,7;4;2,1904864.0000,2007-01-03,2007-01-03,48
2007,07-RR-IDN-13425,3,6,3,7;4;2;3,1255042.0000,2007-02-13,2007-03-16,48
2007,07-RR-IRQ-6064,3,16,1,7,3533359.0000,2007-04-02,2007-04-02,49
2007,07-RR-TLS-11759,3,34,5,5,626378.0000,2007-04-02,2007-04-02,93
2007,07-RR-TLS-11763,3,13,3,5,464615.0000,2007-05-29,2007-05-29,93
2007,07-RR-TLS-11766,3,19,1,2,209571.0000,2007-12-14,2007-12-14,93
2007,07-RR-PHL-9602,3,5,3,7;6;2;3,938214.0000,2007-07-03,2007-07-11,78
2007,07-RR-PAK-13623,3,27,6,7,100000.0000,2007-08-27,2007-08-27,74
2007,07-RR-PAK-13627,3,6,3,2,1408851.0000,2007-09-11,2007-09-11,74
2007,07-UF-MMR-7752,4,27,6,11;2;3,1448335.0000,2007-09-21,2007-09-21,67
2007,07-RR-LKA-11003,3,19,1,1,209955.0000,2007-02-23,2007-02-23,89
2007,07-RR-LKA-13894,3,16,1,5;11;4;2,7732968.0000,2007-03-22,2007-03-27,89
2007,07-RR-LKA-13900,3,16,1,6;3,1002210.0000,2007-04-05,2007-04-05,89
2007,07-RR-LKA-13903,3,16,1,5;1;11,1942952.0000,2007-08-23,2007-08-23,89
2007,07-RR-PAK-8725,3,6,3,5;7;6;11;4;2;3,4298114.0000,2007-07-11,2007-07-11,74
2007,07-RR-AFG-18,3,16,1,7;4;2;3,5111195.0000,2007-06-12,2007-08-15,1
2007,07-RR-NPL-8215,3,27,6,2,1000000.0000,2007-12-07,2007-12-07,69
