Year,ApplicationCode,EmergencyGroupID,EmergencyTypeID,Budget,WindowID,FirstProjectApprovedDate,LastProjectApprovedDate,CountryID
2006,06-UF-GIN-5678,1,16,999999.41,4,2006-09-06,2006-09-06,43
2006,06-UF-HTI-5791,3,5,1000000.0,4,2006-06-06,2006-06-06,45
2006,06-UF-KEN-12805,6,27,1000000.0,4,2006-06-28,2006-06-28,52
2006,06-UF-LBR-12943,6,27,3983680.9700000007,4,2006-08-14,2006-09-28,57
2006,06-UF-MLI-7114,6,27,1985598.0,4,2006-09-06,2006-09-06,61
2006,06-UF-MRT-7324,6,27,2075604.0,4,2006-09-08,2006-09-08,63
2006,06-UF-TCD-1745,1,16,6268442.0,4,2006-06-23,2006-06-23,19
2006,06-UF-ZMB-12503,1,16,500000.0,4,2006-08-10,2006-08-10,106
2006,06-UF-ZWE-12510,6,27,999973.29,4,2006-06-28,2006-06-28,107
2006,06-UF-ZWE-12515,6,27,999990.09,4,2006-09-11,2006-09-11,107
2007,06-RR-CAF-1106,5,22,184330.0,3,2006-08-22,2007-01-03,18
2007,06-RR-IDN-6033,3,6,1020383.0,3,2007-01-03,2007-01-03,48
2007,06-RR-IDN-6033,3,5,884481.0,3,2007-01-03,2007-01-03,48
2007,07-RR-AFG-18,1,16,5111195.0,3,2007-06-12,2007-08-15,1
2007,07-RR-AFG-29,6,27,323212.0,3,2007-10-03,2007-10-03,1
2007,07-RR-AGO-211,2,9,3216435.0,3,2007-03-05,2007-03-06,3
2007,07-RR-ARM-287,1,16,299787.0,3,2007-10-29,2007-10-29,5
2007,07-RR-BFA-589,2,12,1796080.0,3,2007-04-11,2007-04-12,13
2007,07-RR-BGD-297,3,5,6054793.0,3,2007-08-30,2007-09-04,7
2007,07-RR-BGD-323,3,6,5000000.0,3,2007-11-19,2007-12-18,7
2007,07-RR-BGD-323,3,5,14692303.0,3,2007-11-19,2007-12-18,7
2007,07-RR-BOL-420,3,6,2000000.0,3,2007-03-06,2007-03-08,10
2007,07-RR-CIV-12790,1,19,1677450.0,3,2007-03-01,2007-03-01,24
2007,07-RR-COD-3770,1,16,5000000.0,3,2007-10-15,2007-10-15,27
2007,07-RR-COG-3265,2,9,881701.4,3,2007-03-07,2007-03-07,79
2007,07-RR-COL-2764,2,12,554510.0,3,2007-08-03,2007-08-03,22
2007,07-RR-COL-2764,6,27,906841.0,3,2007-08-03,2007-08-03,22
