contributionYear,donorId,fundId,paidAmount,pledgedAmount
2012,86,87,4291664,0
2012,86,88,2918882,0
2012,86,105,515841,0
2012,98,105,500000,0
2012,109,27,307425,0
2012,124,36,6428571,0
2012,124,80,5000000,0
2012,124,87,8500000,0
2012,124,88,20000000,0
2012,129,22,533789,0
2012,129,27,8462088,0
2012,129,36,820417,0
2012,129,74,874283,0
2012,129,80,10735343,0
2012,129,87,3474001,0
2012,129,88,12106629,0
2012,158,22,649350,0
2012,158,27,3833100,0
2012,158,36,649350,0
2012,158,73,649350,0
2012,158,80,3833100,0
2012,162,18,2918649,0
2012,162,27,18752448,0
2012,162,36,4486132,0
2012,162,73,1131120,0
2012,162,80,15106523,0
2012,162,87,6852934,0
2012,162,88,19082322,0
2012,162,105,1498231,0
2012,163,36,619973,0
2012,163,73,539956,0
2012,163,87,1801451,0
2012,163,105,969599,0
2012,183,27,44896950,0
2012,183,36,12558869,0
2012,183,74,4846526,0
2012,183,80,33469275,0
2012,183,87,25086400,0
2012,183,88,49695300,0
2012,183,105,3466108,0
2012,208,45,302,0
2013,3,87,1999978,0
2013,22,27,9306400,0
2013,52,80,3575898,0
2013,52,87,3553218,0
2013,52,88,7054289,0
2013,52,105,3624619,0
2013,63,87,3895200,0
2013,67,73,402178,0
2013,67,87,1320150,0
2013,80,73,200000,0
2013,82,91,499111,0
2013,86,18,2603140,0
2013,86,27,4987440,0
2013,86,36,663129,0
2013,86,73,137741,0
2013,86,80,3213040,0
2013,86,87,4580190,0
2013,86,88,3213040,0
2013,86,105,261780,0
2013,109,27,327350,0
2013,124,18,2500000,0
2013,124,27,1875000,0
2013,124,36,1250000,0
2013,124,80,2250000,0
2013,124,87,1562500,0
2013,124,88,5000000,0
2013,129,22,497993,0
2013,129,27,6842006,0
2013,129,36,829988,0
2013,129,73,1614481,0
2013,129,74,1681908,0
2013,129,80,10328266,0
2013,129,88,8547008,0
2013,129,105,1614481,0
2013,158,22,662251,0
2013,158,45,331125,0
2013,158,73,397350,0
2013,162,18,4495546,0
2013,162,22,611192,0
2013,162,27,12335973,0
2013,162,36,1515399,0
2013,162,45,757699,0
2013,162,67,757699,0
2013,162,73,458394,0
2013,162,74,3807371,0
2013,162,80,14516297,0
2013,162,87,9805302,0
2013,162,88,13997672,0
2013,162,105,2291972,0
2013,163,36,1294787,0
2013,163,73,2375422,0
